GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM3498292,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,27744648,21276542,0.279,58473,0.8605
GSM3498293,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,28173821,21095009,0.014,9218,0.6098
GSM3498294,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,24370625,18707067,0.277,53256,0.8916
GSM3498295,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,28853369,21988913,0.109,40109,0.8518
GSM3498296,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,27942966,21279323,0.297,60356,0.8472
GSM3498297,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,35258762,26295728,0.017,11644,0.6463
GSM3498298,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,29927798,22452498,0.309,62031,0.8675
GSM3498299,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,36565087,27714062,0.111,43687,0.8451
GSM3498310,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,29076318,22857955,0.242,56761,0.8935
GSM3498311,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,32386437,25573383,0.244,58319,0.8877
GSM3498312,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,24329609,19048109,0.263,53923,0.8889
GSM3498313,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,24503461,19322716,0.264,54023,0.8873
GSM3502477,GSE123388,E10.5_limb,31147463,5/13/19,Limb,,28992538,12363329,0.288,66418,0.8914
